Rok,Województwo,Populacja,Specjalność komórki,Liczba porad AOS,Liczba porad AOS/1 tys. mieszk.,Liczba poradni AOS,Liczba poradni AOS/10 tys. mieszk.
2022,dolnośląskie,2888033,poradnia alergologiczna,157481,54.53,63,0.22
2022,dolnośląskie,2888033,poradnia alergologiczna dla dzieci,29324,10.15,11,0.04
2022,dolnośląskie,2888033,poradnia audiologiczna,8453,2.93,6,0.02
2022,dolnośląskie,2888033,poradnia chemioterapii,18280,6.33,3,0.01
2022,dolnośląskie,2888033,poradnia chirurgii klatki piersiowej,5268,1.82,2,0.01
2022,dolnośląskie,2888033,poradnia chirurgii naczyniowej,15253,5.28,5,0.02
2022,dolnośląskie,2888033,poradnia chirurgii ogólnej,503555,174.36,126,0.44
2022,dolnośląskie,2888033,poradnia chirurgii ogólnej dla dzieci,37780,13.08,9,0.03
2022,dolnośląskie,2888033,poradnia chirurgii onkologicznej,50552,17.5,12,0.04
2022,dolnośląskie,2888033,poradnia chirurgii onkologicznej dla dzieci,237,0.08,1,0
2022,dolnośląskie,2888033,poradnia chirurgii plastycznej,11103,3.84,3,0.01
2022,dolnośląskie,2888033,poradnia chirurgii szczękowo-twarzowej,11472,3.97,3,0.01
2022,dolnośląskie,2888033,poradnia chirurgii urazowo-ortopedycznej,394151,136.48,85,0.29
2022,dolnośląskie,2888033,poradnia chirurgii urazowo-ortopedycznej dla dzieci,149,0.05,1,0
2022,dolnośląskie,2888033,poradnia chorób metabolicznych,3876,1.34,2,0.01
2022,dolnośląskie,2888033,poradnia chorób naczyń,27451,9.51,12,0.04
2022,dolnośląskie,2888033,poradnia chorób płuc,43358,15.01,23,0.08
2022,dolnośląskie,2888033,poradnia chorób zakaźnych,16435,5.69,6,0.02
2022,dolnośląskie,2888033,poradnia chorób zakaźnych dla dzieci,5400,1.87,2,0.01
2022,dolnośląskie,2888033,poradnia dermatologiczna,334658,115.88,127,0.44
2022,dolnośląskie,2888033,poradnia diabetologiczna,105798,36.63,52,0.18
2022,dolnośląskie,2888033,poradnia diabetologiczna dla dzieci,2755,0.95,1,0
2022,dolnośląskie,2888033,poradnia endokrynologiczna,54396,18.83,19,0.07
2022,dolnośląskie,2888033,poradnia endokrynologiczna dla dzieci,12012,4.16,3,0.01
2022,dolnośląskie,2888033,poradnia endokrynologiczna osteoporozy,1601,0.55,1,0
2022,dolnośląskie,2888033,poradnia foniatryczna,10083,3.49,5,0.02
2022,dolnośląskie,2888033,poradnia gastroenterologiczna,36929,12.79,18,0.06
2022,dolnośląskie,2888033,poradnia gastroenterologiczna dla dzieci,5292,1.83,3,0.01
2022,dolnośląskie,2888033,poradnia genetyczna,6985,2.42,3,0.01
2022,dolnośląskie,2888033,poradnia geriatryczna,2502,0.87,4,0.01
2022,dolnośląskie,2888033,poradnia ginekologiczna,2059,0.71,2,0.01
2022,dolnośląskie,2888033,poradnia ginekologiczna dla dziewcząt,1471,0.51,3,0.01
2022,dolnośląskie,2888033,poradnia ginekologii onkologicznej,11632,4.03,3,0.01
2022,dolnośląskie,2888033,poradnia gruźlicy i chorób płuc,68076,23.57,17,0.06
2022,dolnośląskie,2888033,poradnia gruźlicy i chorób płuc dla dzieci,1128,0.39,1,0
2022,dolnośląskie,2888033,poradnia hematologiczna,45309,15.69,7,0.02
2022,dolnośląskie,2888033,poradnia hematologiczna dla dzieci,1430,0.5,1,0
2022,dolnośląskie,2888033,poradnia hepatologiczna,3270,1.13,2,0.01
2022,dolnośląskie,2888033,poradnia immunologiczna,1012,0.35,2,0.01
2022,dolnośląskie,2888033,poradnia kardiochirurgiczna,4484,1.55,3,0.01
2022,dolnośląskie,2888033,poradnia kardiologiczna,265981,92.1,69,0.24
2022,dolnośląskie,2888033,poradnia kardiologiczna dla dzieci,11744,4.07,7,0.02
2022,dolnośląskie,2888033,poradnia leczenia bólu,11644,4.03,8,0.03
2022,dolnośląskie,2888033,poradnia leczenia mukowiscydozy,348,0.12,1,0
2022,dolnośląskie,2888033,poradnia leczenia zeza,12552,4.35,6,0.02
2022,dolnośląskie,2888033,poradnia logopedyczna,101204,35.04,59,0.2
2022,dolnośląskie,2888033,poradnia medycyny sportowej,5320,1.84,6,0.02
2022,dolnośląskie,2888033,poradnia nadciśnienia tętniczego,1153,0.4,1,0
2022,dolnośląskie,2888033,poradnia nefrologiczna,19633,6.8,12,0.04
2022,dolnośląskie,2888033,poradnia nefrologiczna dla dzieci,4972,1.72,3,0.01
2022,dolnośląskie,2888033,poradnia neonatologiczna,7325,2.54,13,0.05
2022,dolnośląskie,2888033,poradnia neurochirurgiczna,16248,5.63,8,0.03
2022,dolnośląskie,2888033,poradnia neurologiczna,258352,89.46,107,0.37
2022,dolnośląskie,2888033,poradnia neurologiczna dla dzieci,24054,8.33,10,0.03
2022,dolnośląskie,2888033,poradnia okulistyczna,591970,204.97,168,0.58
2022,dolnośląskie,2888033,poradnia okulistyczna dla dzieci,12682,4.39,10,0.03
2022,dolnośląskie,2888033,poradnia onkologiczna,163534,56.62,42,0.15
2022,dolnośląskie,2888033,poradnia onkologii i hematologii dziecięcej,209,0.07,1,0
2022,dolnośląskie,2888033,poradnia osteoporozy,8591,2.97,3,0.01
2022,dolnośląskie,2888033,poradnia otorynolaryngologiczna,278704,96.5,132,0.46
2022,dolnośląskie,2888033,poradnia otorynolaryngologiczna dla dzieci,4845,1.68,5,0.02
2022,dolnośląskie,2888033,poradnia patologii ciąży,4162,1.44,1,0
2022,dolnośląskie,2888033,poradnia położniczo-ginekologiczna,613665,212.49,204,0.71
2022,dolnośląskie,2888033,poradnia preluksacyjna,14726,5.1,10,0.03
2022,dolnośląskie,2888033,poradnia profilaktyczno-lecznicza (hiv/aids),13077,4.53,2,0.01
2022,dolnośląskie,2888033,poradnia profilaktyki chorób piersi,8718,3.02,1,0
2022,dolnośląskie,2888033,poradnia proktologiczna,12043,4.17,7,0.02
2022,dolnośląskie,2888033,poradnia radioterapii,19771,6.85,2,0.01
2022,dolnośląskie,2888033,poradnia reumatologiczna,70627,24.46,46,0.16
2022,dolnośląskie,2888033,poradnia reumatologiczna dla dzieci,1844,0.64,2,0.01
2022,dolnośląskie,2888033,poradnia transplantologiczna,7195,2.49,4,0.01
2022,dolnośląskie,2888033,poradnia urologiczna,136456,47.25,50,0.17
2022,dolnośląskie,2888033,poradnia urologiczna dla dzieci,2455,0.85,1,0
2022,dolnośląskie,2888033,poradnia wad postawy,4276,1.48,7,0.02
2022,dolnośląskie,2888033,poradnia wad serca,1569,0.54,1,0
2022,dolnośląskie,2888033,poradnia zaburzeń i wad rozwojowych dzieci,62,0.02,1,0
2022,dolnośląskie,2888033,pracownia endoskopii,71379,24.72,40,0.14
2022,dolnośląskie,2888033,pracownia lub zakład medycyny nuklearnej,4160,1.44,3,0.01
2022,dolnośląskie,2888033,pracownia rentgenodiagnostyki ogólnej,5908,2.05,1,0
2022,dolnośląskie,2888033,pracownia rezonansu magnetycznego,128569,44.52,25,0.09
2022,dolnośląskie,2888033,pracownia tomografii komputerowej,110186,38.15,38,0.13
2022,dolnośląskie,2888033,pracownia usg,1541,0.53,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia (gabinet) podstawowej opieki zdrowotnej,16,0.01,1,0
2022,kujawsko-pomorskie,2006876,poradnia alergologiczna,99444,49.55,40,0.2
2022,kujawsko-pomorskie,2006876,poradnia alergologiczna dla dzieci,38497,19.18,7,0.03
2022,kujawsko-pomorskie,2006876,poradnia audiologiczna,5457,2.72,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia audiologiczna dla dzieci,2714,1.35,1,0
2022,kujawsko-pomorskie,2006876,poradnia chemioterapii,12649,6.3,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia chirurgii klatki piersiowej,10385,5.17,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia chirurgii naczyniowej,22727,11.32,6,0.03
2022,kujawsko-pomorskie,2006876,poradnia chirurgii ogólnej,327012,162.95,59,0.29
2022,kujawsko-pomorskie,2006876,poradnia chirurgii ogólnej dla dzieci,47946,23.89,12,0.06
2022,kujawsko-pomorskie,2006876,poradnia chirurgii onkologicznej,60459,30.13,12,0.06
2022,kujawsko-pomorskie,2006876,poradnia chirurgii plastycznej,3503,1.75,1,0
2022,kujawsko-pomorskie,2006876,poradnia chirurgii szczękowo-twarzowej,10907,5.43,5,0.02
2022,kujawsko-pomorskie,2006876,poradnia chirurgii urazowo-ortopedycznej,309923,154.43,55,0.27
2022,kujawsko-pomorskie,2006876,poradnia chirurgii urazowo-ortopedycznej dla dzieci,3523,1.76,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia chorób metabolicznych,667,0.33,4,0.02
2022,kujawsko-pomorskie,2006876,poradnia chorób metabolicznych dla dzieci,1388,0.69,1,0
2022,kujawsko-pomorskie,2006876,poradnia chorób naczyń,12884,6.42,6,0.03
2022,kujawsko-pomorskie,2006876,poradnia chorób płuc,30713,15.3,14,0.07
2022,kujawsko-pomorskie,2006876,poradnia chorób płuc dla dzieci,3651,1.82,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia chorób zakaźnych,11240,5.6,5,0.02
2022,kujawsko-pomorskie,2006876,poradnia chorób zakaźnych dla dzieci,368,0.18,1,0
2022,kujawsko-pomorskie,2006876,poradnia dermatologiczna,208299,103.79,55,0.27
2022,kujawsko-pomorskie,2006876,poradnia dermatologiczna dla dzieci,2143,1.07,1,0
2022,kujawsko-pomorskie,2006876,poradnia diabetologiczna,95800,47.74,35,0.17
2022,kujawsko-pomorskie,2006876,poradnia diabetologiczna dla dzieci,3723,1.86,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia endokrynologiczna,123935,61.76,39,0.19
2022,kujawsko-pomorskie,2006876,poradnia endokrynologiczna dla dzieci,10984,5.47,4,0.02
2022,kujawsko-pomorskie,2006876,poradnia endokrynologii i diabetologii dziecięcej,1845,0.92,1,0
2022,kujawsko-pomorskie,2006876,poradnia foniatryczna,3757,1.87,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia gastroenterologiczna,38003,18.94,24,0.12
2022,kujawsko-pomorskie,2006876,poradnia gastroenterologiczna dla dzieci,5992,2.99,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia genetyczna,7115,3.55,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia geriatryczna,5643,2.81,7,0.03
2022,kujawsko-pomorskie,2006876,poradnia ginekologiczna,11611,5.79,7,0.03
2022,kujawsko-pomorskie,2006876,poradnia ginekologiczna dla dziewcząt,3751,1.87,4,0.02
2022,kujawsko-pomorskie,2006876,poradnia gruźlicy i chorób płuc,52960,26.39,23,0.11
2022,kujawsko-pomorskie,2006876,poradnia gruźlicy i chorób płuc dla dzieci,9168,4.57,4,0.02
2022,kujawsko-pomorskie,2006876,poradnia hematologiczna,28848,14.37,6,0.03
2022,kujawsko-pomorskie,2006876,poradnia hematologiczna dla dzieci,3995,1.99,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia hepatologiczna,13365,6.66,1,0
2022,kujawsko-pomorskie,2006876,poradnia immunologiczna,1048,0.52,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia immunologiczna dla dzieci,1584,0.79,1,0
2022,kujawsko-pomorskie,2006876,poradnia kardiochirurgiczna,2488,1.24,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia kardiologiczna,248745,123.95,57,0.28
2022,kujawsko-pomorskie,2006876,poradnia kardiologiczna dla dzieci,17489,8.71,8,0.04
2022,kujawsko-pomorskie,2006876,poradnia leczenia bólu,25850,12.88,12,0.06
2022,kujawsko-pomorskie,2006876,poradnia leczenia mukowiscydozy dla dzieci,384,0.19,1,0
2022,kujawsko-pomorskie,2006876,poradnia leczenia zeza,3621,1.8,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia logopedyczna,72829,36.29,48,0.24
2022,kujawsko-pomorskie,2006876,poradnia logopedyczna dla dzieci,1180,0.59,1,0
2022,kujawsko-pomorskie,2006876,poradnia medycyny sportowej,26590,13.25,16,0.08
2022,kujawsko-pomorskie,2006876,poradnia nefrologiczna,17270,8.61,12,0.06
2022,kujawsko-pomorskie,2006876,poradnia nefrologiczna dla dzieci,2836,1.41,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia neonatologiczna,7534,3.75,7,0.03
2022,kujawsko-pomorskie,2006876,poradnia neurochirurgiczna,33468,16.68,11,0.05
2022,kujawsko-pomorskie,2006876,poradnia neurochirurgiczna dla dzieci,914,0.46,1,0
2022,kujawsko-pomorskie,2006876,poradnia neurologiczna,232765,115.98,83,0.41
2022,kujawsko-pomorskie,2006876,poradnia neurologiczna dla dzieci,17745,8.84,10,0.05
2022,kujawsko-pomorskie,2006876,poradnia okulistyczna,263017,131.06,72,0.36
2022,kujawsko-pomorskie,2006876,poradnia okulistyczna dla dzieci,6985,3.48,3,0.01
2022,kujawsko-pomorskie,2006876,poradnia onkologiczna,75701,37.72,16,0.08
2022,kujawsko-pomorskie,2006876,poradnia onkologiczna dla dzieci,2242,1.12,1,0
2022,kujawsko-pomorskie,2006876,poradnia osteoporozy,11506,5.73,6,0.03
2022,kujawsko-pomorskie,2006876,poradnia otorynolaryngologiczna,169541,84.48,73,0.36
2022,kujawsko-pomorskie,2006876,poradnia otorynolaryngologiczna dla dzieci,15846,7.9,5,0.02
2022,kujawsko-pomorskie,2006876,poradnia położniczo-ginekologiczna,446731,222.6,180,0.9
2022,kujawsko-pomorskie,2006876,poradnia preluksacyjna,12374,6.17,13,0.06
2022,kujawsko-pomorskie,2006876,poradnia profilaktyczno-lecznicza (hiv/aids),2394,1.19,1,0
2022,kujawsko-pomorskie,2006876,poradnia profilaktyki chorób piersi,5069,2.53,2,0.01
2022,kujawsko-pomorskie,2006876,poradnia radioterapii,19036,9.49,2,0.01
